Name,Location,Price,Cuisine,Longitude,Latitude,Award,GreenStar,FacilitiesAndServices,Stars,Country
Kadeau Copenhagen,"Copenhagen, Denmark",4,Creative,12.5888136,55.6722948,2 Stars,1,Interesting wine list,twoStar,Denmark
Kong Hans Kælder,"Copenhagen, Denmark",4,"Modern French, Seasonal Cuisine",12.5839958,55.6787423,2 Stars,0,Interesting wine list,twoStar,Denmark
Vollmers,"Malmo, Sweden",4,Contemporary,12.9966201,55.6046461,2 Stars,0,Air conditioning,twoStar,Sweden
Kontrast,"Oslo, Norway",4,Scandinavian,10.7511251,59.922727,2 Stars,1,"Air conditioning,Interesting wine list,Wheelchair access",twoStar,Norway
Palace,"Helsinki, Finland",4,Modern Cuisine,24.9523857,60.1653036,2 Stars,0,"Air conditioning,Great view,Interesting wine list,Wheelchair access",twoStar,Finland
Henne Kirkeby Kro,"Henne, Denmark",4,Classic Cuisine,8.2423144,55.7270112,2 Stars,1,"Car park,Garden or park,Interesting wine list,Wheelchair access",twoStar,Denmark
Milka,"Kranjska Gora, Slovenia",4,"Creative, Regional Cuisine",13.7847333,46.4751488,2 Stars,0,"Air conditioning,Car park,Great view,Interesting wine list,Terrace,Wheelchair access",twoStar,Slovenia
Bottiglieria 1881,"Kraków, Poland",4,Creative,19.9460552,50.0486603,2 Stars,0,Interesting wine list,twoStar,Poland
Pujol,"Miguel Hildalgo, Mexico",4,"Mexican, Modern Cuisine",-99.1947841,19.4324232,2 Stars,0,"Counter dining,Interesting wine list,Terrace",twoStar,Mexico
Quintonil,"Miguel Hildalgo, Mexico",4,"Mexican, Contemporary",-99.1916968,19.4310167,2 Stars,0,"Air conditioning,Counter dining",twoStar,Mexico
STAY by Yannick Alléno,Dubai,4,French,55.1326916,25.0992961,2 Stars,0,"Air conditioning,Car park,Garden or park,Interesting wine list,Terrace,Valet parking,Wheelchair access",twoStar,Dubai
Il Ristorante-Niko Romito,Dubai,4,Italian,55.2348847,25.2104546,2 Stars,0,"Air conditioning,Great view,Interesting wine list,Terrace,Valet parking,Wheelchair access",twoStar,Dubai
Row on 45,Dubai,4,Creative,55.1435576,25.0861613,2 Stars,0,"Air conditioning,Great view,Interesting wine list,Valet parking,Wheelchair access",twoStar,Dubai
Tanière³,"Québec, Canada",4,Creative,-71.2022076,46.8135735,2 Stars,0,"Air conditioning,Interesting wine list",twoStar,Canada
akordu,"Nara, Japan",3,Innovative,135.835467,34.68575,2 Stars,0,"Air conditioning,Car park,Interesting wine list",twoStar,Japan
Oryori Hanagaki,"Nara, Japan",4,Japanese,135.753435,34.692643,2 Stars,0,"Air conditioning,Shoes must be removed",twoStar,Japan
Tsukumo,"Nara, Japan",4,Japanese,135.834095,34.675974,2 Stars,0,"Air conditioning,Counter dining",twoStar,Japan
